Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Filip Forsberg        NAS   RW   LW   25   6'1     205     51   50   120  80   79   81   75   79   70   80   79   78   87   70   77   51   85   80   74   77
Jesper Fast           NYR   RW   LW   28   6'0     188     55   50   120  76   75   75   75   75   73   79   80   80   76   64   74   47   73   75   74   75
Pontus Aberg          DET   RW   LW   26   5'11    196     57   50   120  75   74   77   75   77   59   77   77   80   78   70   76   55   81   75   70   74
Calle Jarnkrok        NAS   RW   C    28   5'11    186     55   50   120  77   76   75   75   75   69   75   75   80   77   65   72   48   78   76   73   74
Loui Eriksson         NYI   RW   LW   34   6'2     183     55   50   120  71   74   75   75   76   66   75   73   83   70   71   74   21   74   73   72   73
Gustav Nyquist        BOS   RW   LW   30   5'11    185     58   50   120  74   75   78   71   74   65   78   76   83   72   58   75   26   85   75   70   73
Patric Hörnqvist      VGK   RW   LW   33   5'11    189     55   50   120  76   72   75   75   75   76   75   75   68   58   58   75   34   79   74   75   72
Oskar Sundqvist       STL   RW   C    26   6'3     209     55   50   120  73   73   75   76   75   72   75   75   74   64   62   75   63   82   73   74   72
Max Friberg           LAV   RW   LW   27   5'11    200     55   50   120  74   70   75   70   74   62   76   75   78   67   70   70   71   77   73   68   72
Viktor Stalberg       FLA   RW   LW   34   6'3     209     59   50   120  65   60   72   77   73   76   79   76   73   64   57   77   45   77   65   75   71
Oskar Steen           PRO   RW   C    22   5'9     188     55   50   120  75   73   76   75   74   53   76   75   76   75   52   62   75   65   74   67   71
Lucas Wallmark        CHA   RW   C    24   6'0     176     53   50   120  73   74   75   62   64   63   73   73   85   72   60   74   72   83   74   63   71
Marcus Sorensen       UFA   RW   LW   28   5'11    175     56   50   120  68   74   76   73   74   57   74   74   75   70   59   62   49   79   72   68   70
Johan Ryno            UFA   RW   C    34   6'5     216     52   50   120  69   74   76   64   66   58   72   74   77   64   62   59   34   79   73   62   69
Jens Looke            SDG   RW   LW   23   6'1     180     56   50   120  70   59   76   53   67   68   66   76   82   77   55   71   77   81   68   62   69
André Petersson       RFA   RW   LW   29   5'9     175     56   50   120  76   72   76   61   60   55   77   96   82   55   54   59   28   75   74   58   69
Tobias Lindberg       UFA   RW   LW   24   6'3     215     54   50   120  60   63   67   70   70   64   75   75   77   62   60   63   51   84   63   68   68
Anton Rodin           UFA   RW   LW   29   5'11    185     56   50   120  70   67   76   70   67   58   73   67   73   56   55   65   21   72   71   65   68
Daniel Bernhardt      HAR   RW   LW   24   6'3     194     53   50   120  70   52   64   64   68   73   73   58   82   73   50   64   58   85   62   68   67
Petter Emanuelsson    UFA   RW   LW   28   6'0     200     59   50   120  54   52   52   72   73   65   71   68   89   55   55   61   26   73   52   70   66
Carl Klingberg        HAR   RW   LW   29   6'3     205     54   50   120  55   55   59   74   70   63   69   74   74   51   55   76   30   79   56   69   66
Linus Omark           UFA   RW   LW   33   5'10    187     58   50   120  72   73   76   59   58   51   78   50   80   53   56   50   33   77   73   56   65
John Dahlstrom        BNG   RW   C    23   6'0     189     59   50   120  53   49   70   54   70   51   60   70   92   59   53   70   45   75   57   58   65
Dennis Everberg       UFA   RW   LW   28   6'4     205     54   50   120  65   60   63   68   60   59   66   63   75   59   59   67   40   71   62   62   65
Robin Kovacs          BRG   RW   LW   23   6'0     186     59   50   120  75   52   70   51   55   61   58   64   72   63   48   66   66   76   65   55   64
Nick Sorensen         RFA   RW   LW   25   6'1     182     55   50   120  61   62   64   64   64   58   67   65   74   55   54   57   34   82   62   62   64
