Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Tobias Rieder         DET   RW   LW   27   5'11    185     55   50   120  77   78   75   75   75   65   75   75   89   76   69   66   54   84   76   71   74
Frederik Tiffels      UFA   RW   LW   25   6'0     192     59   50   120  51   49   49   52   53   52   66   80   81   67   50   70   69   77   49   52   63
Markus Eisenschmid    UFA   RW   C    25   6'1     195     53   50   120  51   50   56   52   52   45   57   51   82   56   53   54   34   72   52   49   58
Christian Wenck       Juni  RW   LW   18   6'0     179     53   50   120  54   55   52   46   47   48   63   64   51   35   65   60   17   81   53   47   57
Tobias Eder           Draf  RW   C    22   6'0     176     53   50   120  51   53   57   48   46   46   57   46   75   54   50   43   37   73   53   46   56
Tom Kuhnhackl         COL   LW   RW   28   6'2     196     55   50   120  61   60   70   75   75   77   72   71   69   67   59   75   44   74   63   75   70
Philip Gogulla        UFA   LW   C    32   6'2     182     55   50   120  63   71   70   67   68   65   73   58   72   55   60   65   36   74   68   66   67
Nathan Walker         HER   LW   RW   26   5'9     186     59   50   120  47   66   65   65   70   49   60   60   74   55   58   67   70   82   59   61   64
David Wolf            UFA   LW   RW   30   6'3     215     59   50   120  59   51   56   72   66   73   62   39   61   54   58   68   36   77   55   70   63
Yannik Valenti        Juni  LW   RW   19   5'11    164     55   50   120  64   57   61   55   55   49   63   53   92   49   47   38   41   70   60   53   60
Philipp Grubauer      VGK   G    -    28   6'1     191     57   50   120  77   79   79   77   78   77   77   70   75   79   66   70   37   84   78   77   75
Thomas Greiss         NYI   G    -    34   6'1     228     55   50   120  75   77   75   75   75   76   75   67   77   74   60   71   38   85   75   75   73
Wouter Peeters        RKF   G    -    21   6'4     205     56   50   120  68   67   67   67   68   67   67   65   49   65   47   55   40   85   67   67   65
Niklas Treutle        UFA   G    -    29   6'2     185     52   50   120  60   59   62   61   65   61   61   71   77   62   59   58   22   75   60   62   65
Sven Mohr             Draf  G    -    18   6'2     216     58   50   120  52   58   48   56   46   46   56   61   88   32   56   64   16   83   52   49   59
Ludwig Biebow         Draf  G    -    18   5'10    179     58   50   120  49   48   49   47   46   34   52   50   65   23   63   37   20   62   48   42   52
Leon Gawanke          MAN   D    -    21   6'1     186     58   50   120  59   48   47   69   66   62   55   68   75   68   54   67   54   75   51   65   64
Korbinian Holzer      UFA   D    -    32   6'3     215     57   50   120  40   33   44   71   73   74   69   74   81   39   60   75   35   82   39   72   64
Dennis Seidenberg     Reti  D    -    38   6'1     210     57   50   120  39   36   48   60   71   68   66   47   77   49   70   72   10   85   41   66   62
Konrad Abeltshauser   UFA   D    -    27   6'5     225     58   50   120  54   54   59   61   62   56   59   48   75   51   52   62   30   79   55   59   61
Denis Reul            UFA   D    -    31   6'4     214     57   50   120  32   38   36   72   71   73   65   83   56   47   58   71   55   79   35   72   61
Jochen Schollenberge  Draf  D    -    17   6'5     223     57   50   120  26   28   23   55   57   64   56   56   68   29   51   56   47   87   25   58   53
Sepi Weiz             Draf  D    -    20   5'11    201     56   50   120  31   38   29   56   59   40   56   44   56   40   53   38   38   65   32   51   51
Leon Draisaitl        COL   C    LW   24   6'1     214     58   50   120  83   83   83   77   78   72   85   84   85   84   66   79   85   84   83   75   79
Manuel Wiederer       SJB   C    RW   23   6'1     175     53   50   120  67   67   66   56   61   61   69   69   77   72   50   71   73   85   66   59   67
Viktor Plage          Juni  C    RW   19   6'2     214     52   50   120  57   64   62   51   51   49   59   71   67   65   64   62   13   60   61   50   62
Dominik Bokk          Juni  C    RW   20   6'1     178     51   50   120  66   61   64   45   49   49   62   68   70   60   50   37   35   45   63   47   60
Kai Leffler           Draf  C    LW   19   5'9     160     52   50   120  27   42   42   31   30   19   42   30   84   61   46   21   14   72   37   26   46
